,Day,group1,group2,p_value
136,30-Oct,control restriction,HFHS restriction,0.00028681675549428065
137,31-Oct,control ad lib,control restriction,0.010842055682495997
138,31-Oct,control ad lib,HFHS ad lib,0.029985664003555637
139,31-Oct,control restriction,HFHS restriction,0.0005431233129110169
140,1-Nov,control restriction,HFHS ad lib,0.0008706055909285653
141,3-Nov,control ad lib,control restriction,0.025908235684109524
142,3-Nov,control ad lib,HFHS restriction,0.04238355448835526
143,3-Nov,control restriction,HFHS restriction,0.0013330488232649095
144,6-Nov,control ad lib,control restriction,0.03170811585927005
145,6-Nov,control restriction,HFHS ad lib,0.0022653203381679896
146,6-Nov,control restriction,HFHS restriction,0.002359099364057514
147,7-Nov,control restriction,HFHS ad lib,0.0030338920618032113
148,7-Nov,control restriction,HFHS restriction,0.0017757324038530362
149,8-Nov,control restriction,HFHS ad lib,0.0022162391385341764
150,8-Nov,control restriction,HFHS restriction,0.002034345970279693
151,9-Nov,control restriction,HFHS ad lib,0.0035093711420864696
152,9-Nov,control restriction,HFHS restriction,0.0030966590870221385
