,Day,group1,group2,p_value
441,23-Oct,HFHS restriction,control ad lib,0.0610419323587186
442,23-Oct,HFHS restriction,control restriction,0.00020614740103084563
443,23-Oct,HFHS restriction,HFHS ad lib,0.3321159274103196
444,24-Oct,control ad lib,control restriction,0.016528762474502606
445,24-Oct,control ad lib,HFHS ad lib,0.04589734725512743
446,24-Oct,control ad lib,HFHS restriction,0.12488644524920367
447,24-Oct,control restriction,control ad lib,0.016528762474502606
448,24-Oct,control restriction,HFHS ad lib,0.001024688035719357
449,24-Oct,control restriction,HFHS restriction,0.0009775343985548937
450,24-Oct,HFHS ad lib,control ad lib,0.04589734725512743
451,24-Oct,HFHS ad lib,control restriction,0.001024688035719357
452,24-Oct,HFHS ad lib,HFHS restriction,0.33250277105101456
453,24-Oct,HFHS restriction,control ad lib,0.12488644524920367
454,24-Oct,HFHS restriction,control restriction,0.0009775343985548937
455,24-Oct,HFHS restriction,HFHS ad lib,0.33250277105101456
456,25-Oct,control ad lib,control restriction,0.031639753570427476
457,25-Oct,control ad lib,HFHS ad lib,0.03358607109209311
458,25-Oct,control ad lib,HFHS restriction,0.05588814967948364
459,25-Oct,control restriction,control ad lib,0.031639753570427476
460,25-Oct,control restriction,HFHS ad lib,0.0012183674044945047
461,25-Oct,control restriction,HFHS restriction,0.00024174863934919313
462,25-Oct,HFHS ad lib,control ad lib,0.03358607109209311
463,25-Oct,HFHS ad lib,control restriction,0.0012183674044945047
464,25-Oct,HFHS ad lib,HFHS restriction,0.3681384891705356
465,25-Oct,HFHS restriction,control ad lib,0.05588814967948364
466,25-Oct,HFHS restriction,control restriction,0.00024174863934919313
467,25-Oct,HFHS restriction,HFHS ad lib,0.3681384891705356
468,26-Oct,control ad lib,control restriction,0.021076909589827893
469,26-Oct,control ad lib,HFHS ad lib,0.030300984856003035
470,26-Oct,control ad lib,HFHS restriction,0.046529745278287724
471,26-Oct,control restriction,control ad lib,0.021076909589827893
472,26-Oct,control restriction,HFHS ad lib,0.000527061454925138
473,26-Oct,control restriction,HFHS restriction,0.00028120056911038653
474,26-Oct,HFHS ad lib,control ad lib,0.030300984856003035
475,26-Oct,HFHS ad lib,control restriction,0.000527061454925138
476,26-Oct,HFHS ad lib,HFHS restriction,0.4048326021294939
477,26-Oct,HFHS restriction,control ad lib,0.046529745278287724
478,26-Oct,HFHS restriction,control restriction,0.00028120056911038653
479,26-Oct,HFHS restriction,HFHS ad lib,0.4048326021294939
480,27-Oct,control ad lib,control restriction,0.023358766474108537
481,27-Oct,control ad lib,HFHS ad lib,0.030300984856003035
482,27-Oct,control ad lib,HFHS restriction,0.03184488756831434
